states,year,quarter,district,trans_counts,amount
Assam,2018,1,Barpeta District,67801,56352302.38
Assam,2018,1,Goalpara District,27132,25331840.52
Assam,2018,1,Biswanath District,16453,12983623.2
Assam,2018,1,Jorhat District,33322,41164542.06
Assam,2018,2,Tinsukia District,66715,102921465.64
Assam,2018,2,Lakhimpur District,39374,43214923.21
Assam,2018,2,Kamrup District,74537,83338163.66
Assam,2018,2,Kokrajhar District,25926,39803961.02
Assam,2018,2,Karbi Anglong District,21038,32715713.62
Assam,2018,2,Sivasagar District,32513,38045383.75
Assam,2018,2,Dibrugarh District,70642,110954951.69
Assam,2018,2,South Salmara Mancachar District,11905,17203000.74
Assam,2018,2,Nagaon District,105834,129818644.91
Assam,2018,2,Dhubri District,45661,47762317.27
Assam,2018,2,Golaghat District,36437,43250232.58
Assam,2018,2,Udalguri District,27215,30375056.04
Assam,2018,2,Majuli District,5058,3699473.57
Assam,2018,2,Sonitpur District,82799,151230715.31
Assam,2018,2,Hojai District,27627,37555286.2
Assam,2018,2,Marigaon District,109223,204057284.22
Assam,2018,2,Chirang District,11893,20005276.77
Assam,2018,2,Cachar District,83921,105147622.61
Assam,2018,2,Nalbari District,28274,31476842.34
Assam,2018,2,West Karbi Anglong District,3059,2307157.47
Assam,2018,2,Dhemaji District,28048,40136198.65
Assam,2018,2,Karimganj District,29742,31418376.06
Assam,2018,2,Bongaigaon District,30556,41124057.19
Assam,2018,2,Dima Hasao District,7909,15427592.18
Assam,2018,2,Baksa District,34924,47062551.5
Assam,2018,2,Charaideo District,22888,22097271.47
Assam,2018,2,Darrang District,39773,44360631.73
Assam,2018,2,Kamrup Metropolitan District,320417,548619364.23
Assam,2018,2,Hailakandi District,20932,21484955.79
Assam,2018,2,Barpeta District,102217,117541108.75
Assam,2018,2,Goalpara District,38784,48654323.65
Assam,2018,2,Biswanath District,24691,27140715.98
Assam,2018,2,Jorhat District,53341,70634515.73
Assam,2018,3,Tinsukia District,90928,155121755.76
Assam,2018,3,Lakhimpur District,51496,62695597.63
Assam,2018,3,Kamrup District,112726,148929589.8
Assam,2018,3,Kokrajhar District,40412,73077064.97
Assam,2018,3,Karbi Anglong District,34200,57257408.76
Assam,2018,3,Sivasagar District,42699,59919419.35
Assam,2018,3,Dibrugarh District,98822,173048841.58
Assam,2018,3,South Salmara Mancachar District,19386,26159422.02
Assam,2018,3,Nagaon District,142195,208584967.97
Assam,2018,3,Dhubri District,67607,103548615.78
Assam,2018,3,Golaghat District,54792,72105527.3
Assam,2018,3,Udalguri District,37084,49951166.54
Assam,2018,3,Majuli District,10921,8055597.91
Assam,2018,3,Sonitpur District,116196,252135800.72
Assam,2018,3,Hojai District,38583,61817228.95
Assam,2018,3,Marigaon District,102867,189132040.92
Assam,2018,3,Chirang District,18743,33723485.94
Assam,2018,3,Cachar District,123735,189612378.33
Assam,2018,3,Nalbari District,41038,53972192.02
Assam,2018,3,West Karbi Anglong District,4995,4925639.96
Assam,2018,3,Dhemaji District,40083,66647316.38
Assam,2018,3,Karimganj District,44660,61562538.84
Assam,2018,3,Bongaigaon District,50508,82437701.24
Assam,2018,3,Dima Hasao District,12952,21820660.62
Assam,2018,3,Baksa District,50043,78080860.9
Assam,2018,3,Charaideo District,28439,37987634.6
Assam,2018,3,Darrang District,51560,66050473.04
Assam,2018,3,Kamrup Metropolitan District,476050,884121118.83
Assam,2018,3,Hailakandi District,29372,41835687.85
Assam,2018,3,Barpeta District,145945,230125281.84
Assam,2018,3,Goalpara District,57019,88773137.7
Assam,2018,3,Biswanath District,36071,49910423.58
Assam,2018,3,Jorhat District,79724,118008412.29
Assam,2018,4,Tinsukia District,127171,253718923.07
Assam,2018,4,Lakhimpur District,76772,104689433.94
Assam,2018,4,Kamrup District,162592,236088241.5
Assam,2018,4,Kokrajhar District,54606,123041318.32
Assam,2018,4,Karbi Anglong District,53526,99019113.05
Assam,2018,4,Sivasagar District,64113,99142069.28
Assam,2018,4,Dibrugarh District,144931,264346941.49
Assam,2018,4,South Salmara Mancachar District,26334,41170236.1
Assam,2018,4,Nagaon District,435103,317973029.47
Assam,2018,4,Dhubri District,120810,181651044.89
Assam,2018,4,Golaghat District,79500,126712548.59
Assam,2018,4,Udalguri District,51801,90836151.48
Assam,2018,4,Majuli District,16498,13348264.37
Assam,2018,4,Sonitpur District,165399,358549931.58
Assam,2018,4,Hojai District,53523,85392301.38
Assam,2018,4,Marigaon District,193075,207853575.1
Assam,2018,4,Chirang District,26846,51647368.61
Assam,2018,4,Cachar District,187360,272342253.13
Assam,2018,4,Nalbari District,61931,83491586.47
Assam,2018,4,West Karbi Anglong District,8729,9985888.62
Assam,2018,4,Dhemaji District,62268,109905674.61
Assam,2018,4,Karimganj District,62738,106200165.51
Assam,2018,4,Bongaigaon District,84239,130369027.69
Assam,2018,4,Dima Hasao District,19051,41435937.88
Assam,2018,4,Baksa District,66602,114583565.16
Assam,2018,4,Charaideo District,41777,63979700.09
Assam,2018,4,Darrang District,67909,109435369.93
Assam,2018,4,Kamrup Metropolitan District,686010,1345451492.43
Assam,2018,4,Hailakandi District,43026,66947503.9
Assam,2018,4,Barpeta District,225449,354675455.93
Assam,2018,4,Goalpara District,101776,171764620.4
Assam,2018,4,Biswanath District,52514,77750045.92
Assam,2018,4,Jorhat District,110193,174524079.09
Assam,2019,1,Tinsukia District,147896,296016100.5
Assam,2019,1,Lakhimpur District,84448,135217192.88
Assam,2019,1,Kamrup District,205094,325387078.13
Assam,2019,1,Kokrajhar District,60413,133213397.37
Assam,2019,1,Karbi Anglong District,62301,127716945.68
Assam,2019,1,Sivasagar District,73524,126028482.9
Assam,2019,1,Dibrugarh District,180303,308520050.14
Assam,2019,1,South Salmara Mancachar District,36980,56376266.78
Assam,2019,1,Nagaon District,265767,382986937.0
Assam,2019,1,Dhubri District,129363,168832530.51
Assam,2019,1,Golaghat District,87815,150699869.59
Assam,2019,1,Udalguri District,57339,103343677.33
Assam,2019,1,Majuli District,15485,17616797.7
Assam,2019,1,Sonitpur District,197716,409811805.46
Assam,2019,1,Hojai District,61983,111715019.69
Assam,2019,1,Marigaon District,162645,225891536.79
Assam,2019,1,Chirang District,32379,57539957.79
Assam,2019,1,Cachar District,206705,335675210.43
Assam,2019,1,Nalbari District,70290,94533334.09
Assam,2019,1,West Karbi Anglong District,11141,12368112.99
Assam,2019,1,Dhemaji District,69519,134956449.74
